"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"954","Antony",9,6,NA,NA,NA,NA,"Antony Amourdoux",30,"Banker","London"
"955","Imelda",9,6,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"956","Karen",9,6,NA,NA,NA,NA,"Karen Wright",60,"In-store sampling assistant","Wakefield"
"957","Luke",9,6,NA,NA,NA,NA,"Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"958","Terry",9,6,NA,NA,NA,NA,"Terry Hartill",56,"Retired air steward","West Midlands"
"959","Briony",9,7,5,NA,NA,"IN","Briony Williams",33,"Full-time parent","Bristol"
"960","Manon",9,7,2,NA,NA,"IN","Manon Lagrave",26,"Software project manager","London"
"961","Rahul",9,7,1,NA,NA,"IN","Rahul Mandal",30,"Research scientist","Rotherham"
"962","Ruby",9,7,3,NA,NA,"IN","Ruby Bhogal",29,"Project manager","London"
"963","Jon",9,7,4,NA,NA,"OUT","Jon Jenkins",47,"Blood courier","Newport"
"964","Kim-Joy",9,7,6,NA,NA,"STAR BAKER","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"965","Antony",9,7,NA,NA,NA,NA,"Antony Amourdoux",30,"Banker","London"
"966","Dan",9,7,NA,NA,NA,NA,"Dan Beasley-Harling",36,"Full-time parent","London"
"967","Imelda",9,7,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"968","Karen",9,7,NA,NA,NA,NA,"Karen Wright",60,"In-store sampling assistant","Wakefield"
"969","Luke",9,7,NA,NA,NA,NA,"Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"970","Terry",9,7,NA,NA,NA,NA,"Terry Hartill",56,"Retired air steward","West Midlands"
"971","Briony",9,8,1,NA,NA,"IN","Briony Williams",33,"Full-time parent","Bristol"
"972","Kim-Joy",9,8,2,NA,NA,"IN","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"973","Rahul",9,8,5,NA,NA,"IN","Rahul Mandal",30,"Research scientist","Rotherham"
"974","Manon",9,8,4,NA,NA,"OUT","Manon Lagrave",26,"Software project manager","London"
"975","Ruby",9,8,3,NA,NA,"STAR BAKER","Ruby Bhogal",29,"Project manager","London"
"976","Antony",9,8,NA,NA,NA,NA,"Antony Amourdoux",30,"Banker","London"
"977","Dan",9,8,NA,NA,NA,NA,"Dan Beasley-Harling",36,"Full-time parent","London"
"978","Imelda",9,8,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"979","Jon",9,8,NA,NA,NA,NA,"Jon Jenkins",47,"Blood courier","Newport"
"980","Karen",9,8,NA,NA,NA,NA,"Karen Wright",60,"In-store sampling assistant","Wakefield"
"981","Luke",9,8,NA,NA,NA,NA,"Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"982","Terry",9,8,NA,NA,NA,NA,"Terry Hartill",56,"Retired air steward","West Midlands"
"983","Kim-Joy",9,9,2,NA,NA,"IN","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"984","Rahul",9,9,4,NA,NA,"IN","Rahul Mandal",30,"Research scientist","Rotherham"
"985","Briony",9,9,3,NA,NA,"OUT","Briony Williams",33,"Full-time parent","Bristol"
"986","Ruby",9,9,1,NA,NA,"STAR BAKER","Ruby Bhogal",29,"Project manager","London"
"987","Antony",9,9,NA,NA,NA,NA,"Antony Amourdoux",30,"Banker","London"
"988","Dan",9,9,NA,NA,NA,NA,"Dan Beasley-Harling",36,"Full-time parent","London"
"989","Imelda",9,9,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"990","Jon",9,9,NA,NA,NA,NA,"Jon Jenkins",47,"Blood courier","Newport"
"991","Karen",9,9,NA,NA,NA,NA,"Karen Wright",60,"In-store sampling assistant","Wakefield"
"992","Luke",9,9,NA,NA,NA,NA,"Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"993","Manon",9,9,NA,NA,NA,NA,"Manon Lagrave",26,"Software project manager","London"
"994","Terry",9,9,NA,NA,NA,NA,"Terry Hartill",56,"Retired air steward","West Midlands"
"995","Kim-Joy",9,10,1,NA,NA,"Runner-up","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"996","Ruby",9,10,3,NA,NA,"Runner-up","Ruby Bhogal",29,"Project manager","London"
"997","Rahul",9,10,2,NA,NA,"WINNER","Rahul Mandal",30,"Research scientist","Rotherham"
"998","Antony",9,10,NA,NA,NA,NA,"Antony Amourdoux",30,"Banker","London"
"999","Briony",9,10,NA,NA,NA,NA,"Briony Williams",33,"Full-time parent","Bristol"
"1000","Dan",9,10,NA,NA,NA,NA,"Dan Beasley-Harling",36,"Full-time parent","London"
"1001","Imelda",9,10,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"1002","Jon",9,10,NA,NA,NA,NA,"Jon Jenkins",47,"Blood courier","Newport"
"1003","Karen",9,10,NA,NA,NA,NA,"Karen Wright",60,"In-store sampling assistant","Wakefield"
"1004","Luke",9,10,NA,NA,NA,NA,"Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"1005","Manon",9,10,NA,NA,NA,NA,"Manon Lagrave",26,"Software project manager","London"
"1006","Terry",9,10,NA,NA,NA,NA,"Terry Hartill",56,"Retired air steward","West Midlands"
"1007","Alice",10,1,5,NA,NA,"IN","Alice Fevronia",28,"Geography teacher","Essex"
"1008","Amelia",10,1,4,NA,NA,"IN","Amelia LeBruin",24,"Fashion designer","Halifax"
"1009","David",10,1,10,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1010","Helena",10,1,12,NA,NA,"IN","Helena Garcia",40,"Online project manager","Leeds"
"1011","Henry",10,1,1,NA,NA,"IN","Henry Bird",20,"Student","Durham"
"1012","Jamie",10,1,13,NA,NA,"IN","Jamie Finn",20,"Part-time waiter","Surrey"
"1013","Michael",10,1,11,NA,NA,"IN","Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1014","Phil",10,1,8,NA,NA,"IN","Phil Thorne",56,"HGV driver","Rainham"
"1015","Priya",10,1,7,NA,NA,"IN","Priya O'Shea",34,"Marketing consultant","Leicester"
"1016","Rosie",10,1,2,NA,NA,"IN","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1017","Steph",10,1,3,NA,NA,"IN","Steph Blackwell",28,"Shop assistant","Chester"
"1018","Dan",10,1,9,NA,NA,"OUT","Dan Chambers",32,"Support worker","Rotherham"
"1019","Michelle",10,1,6,NA,NA,"STAR BAKER","Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1020","Amelia",10,2,9,NA,NA,"IN","Amelia LeBruin",24,"Fashion designer","Halifax"
"1021","David",10,2,2,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1022","Helena",10,2,12,NA,NA,"IN","Helena Garcia",40,"Online project manager","Leeds"
"1023","Henry",10,2,6,NA,NA,"IN","Henry Bird",20,"Student","Durham"
"1024","Michael",10,2,4,NA,NA,"IN","Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1025","Michelle",10,2,8,NA,NA,"IN","Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1026","Phil",10,2,3,NA,NA,"IN","Phil Thorne",56,"HGV driver","Rainham"
"1027","Priya",10,2,7,NA,NA,"IN","Priya O'Shea",34,"Marketing consultant","Leicester"
"1028","Rosie",10,2,5,NA,NA,"IN","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1029","Steph",10,2,10,NA,NA,"IN","Steph Blackwell",28,"Shop assistant","Chester"
"1030","Jamie",10,2,11,NA,NA,"OUT","Jamie Finn",20,"Part-time waiter","Surrey"
"1031","Alice",10,2,1,NA,NA,"STAR BAKER","Alice Fevronia",28,"Geography teacher","Essex"
"1032","Dan",10,2,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1033","Alice",10,3,7,NA,NA,"IN","Alice Fevronia",28,"Geography teacher","Essex"
"1034","David",10,3,2,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1035","Helena",10,3,8,NA,NA,"IN","Helena Garcia",40,"Online project manager","Leeds"
"1036","Henry",10,3,1,NA,NA,"IN","Henry Bird",20,"Student","Durham"
"1037","Michelle",10,3,5,NA,NA,"IN","Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1038","Phil",10,3,10,NA,NA,"IN","Phil Thorne",56,"HGV driver","Rainham"
"1039","Priya",10,3,4,NA,NA,"IN","Priya O'Shea",34,"Marketing consultant","Leicester"
"1040","Rosie",10,3,9,NA,NA,"IN","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1041","Steph",10,3,3,NA,NA,"IN","Steph Blackwell",28,"Shop assistant","Chester"
"1042","Amelia",10,3,11,NA,NA,"OUT","Amelia LeBruin",24,"Fashion designer","Halifax"
"1043","Michael",10,3,6,NA,NA,"STAR BAKER","Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1044","Dan",10,3,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1045","Jamie",10,3,NA,NA,NA,NA,"Jamie Finn",20,"Part-time waiter","Surrey"
"1046","Alice",10,4,8,NA,NA,"IN","Alice Fevronia",28,"Geography teacher","Essex"
"1047","David",10,4,2,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1048","Helena",10,4,9,NA,NA,"IN","Helena Garcia",40,"Online project manager","Leeds"
"1049","Henry",10,4,3,NA,NA,"IN","Henry Bird",20,"Student","Durham"
"1050","Michael",10,4,7,NA,NA,"IN","Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1051","Michelle",10,4,5,NA,NA,"IN","Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1052","Priya",10,4,10,NA,NA,"IN","Priya O'Shea",34,"Marketing consultant","Leicester"
"1053","Rosie",10,4,4,NA,NA,"IN","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1054","Phil",10,4,6,NA,NA,"OUT","Phil Thorne",56,"HGV driver","Rainham"
"1055","Steph",10,4,1,NA,NA,"STAR BAKER","Steph Blackwell",28,"Shop assistant","Chester"
"1056","Amelia",10,4,NA,NA,NA,NA,"Amelia LeBruin",24,"Fashion designer","Halifax"
"1057","Dan",10,4,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1058","Jamie",10,4,NA,NA,NA,NA,"Jamie Finn",20,"Part-time waiter","Surrey"
"1059","Alice",10,5,6,NA,NA,"IN","Alice Fevronia",28,"Geography teacher","Essex"
"1060","David",10,5,9,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1061","Henry",10,5,3,NA,NA,"IN","Henry Bird",20,"Student","Durham"
"1062","Michael",10,5,8,NA,NA,"IN","Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1063","Priya",10,5,2,NA,NA,"IN","Priya O'Shea",34,"Marketing consultant","Leicester"
"1064","Rosie",10,5,5,NA,NA,"IN","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1065","Helena",10,5,1,NA,NA,"OUT","Helena Garcia",40,"Online project manager","Leeds"
"1066","Michelle",10,5,7,NA,NA,"OUT","Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1067","Steph",10,5,4,NA,NA,"STAR BAKER","Steph Blackwell",28,"Shop assistant","Chester"
"1068","Amelia",10,5,NA,NA,NA,NA,"Amelia LeBruin",24,"Fashion designer","Halifax"
"1069","Dan",10,5,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1070","Jamie",10,5,NA,NA,NA,NA,"Jamie Finn",20,"Part-time waiter","Surrey"
"1071","Phil",10,5,NA,NA,NA,NA,"Phil Thorne",56,"HGV driver","Rainham"
"1072","Alice",10,6,1,NA,NA,"IN","Alice Fevronia",28,"Geography teacher","Essex"
"1073","David",10,6,2,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1074","Henry",10,6,4,NA,NA,"IN","Henry Bird",20,"Student","Durham"
"1075","Michael",10,6,6,NA,NA,"IN","Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1076","Rosie",10,6,5,NA,NA,"IN","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1077","Priya",10,6,7,NA,NA,"OUT","Priya O'Shea",34,"Marketing consultant","Leicester"
"1078","Steph",10,6,3,NA,NA,"STAR BAKER","Steph Blackwell",28,"Shop assistant","Chester"
"1079","Amelia",10,6,NA,NA,NA,NA,"Amelia LeBruin",24,"Fashion designer","Halifax"
"1080","Dan",10,6,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1081","Helena",10,6,NA,NA,NA,NA,"Helena Garcia",40,"Online project manager","Leeds"
"1082","Jamie",10,6,NA,NA,NA,NA,"Jamie Finn",20,"Part-time waiter","Surrey"
"1083","Michelle",10,6,NA,NA,NA,NA,"Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1084","Phil",10,6,NA,NA,NA,NA,"Phil Thorne",56,"HGV driver","Rainham"
"1085","Alice",10,7,6,NA,NA,"IN","Alice Fevronia",28,"Geography teacher","Essex"
"1086","David",10,7,2,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1087","Rosie",10,7,1,NA,NA,"IN","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1088","Steph",10,7,4,NA,NA,"IN","Steph Blackwell",28,"Shop assistant","Chester"
"1089","Michael",10,7,5,NA,NA,"OUT","Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1090","Henry",10,7,3,NA,NA,"STAR BAKER","Henry Bird",20,"Student","Durham"
"1091","Amelia",10,7,NA,NA,NA,NA,"Amelia LeBruin",24,"Fashion designer","Halifax"
"1092","Dan",10,7,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1093","Helena",10,7,NA,NA,NA,NA,"Helena Garcia",40,"Online project manager","Leeds"
"1094","Jamie",10,7,NA,NA,NA,NA,"Jamie Finn",20,"Part-time waiter","Surrey"
"1095","Michelle",10,7,NA,NA,NA,NA,"Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1096","Phil",10,7,NA,NA,NA,NA,"Phil Thorne",56,"HGV driver","Rainham"
"1097","Priya",10,7,NA,NA,NA,NA,"Priya O'Shea",34,"Marketing consultant","Leicester"
"1098","Alice",10,8,3,NA,NA,"IN","Alice Fevronia",28,"Geography teacher","Essex"
"1099","David",10,8,1,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1100","Rosie",10,8,2,NA,NA,"IN","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1101","Henry",10,8,5,NA,NA,"OUT","Henry Bird",20,"Student","Durham"
"1102","Steph",10,8,4,NA,NA,"STAR BAKER","Steph Blackwell",28,"Shop assistant","Chester"
"1103","Amelia",10,8,NA,NA,NA,NA,"Amelia LeBruin",24,"Fashion designer","Halifax"
"1104","Dan",10,8,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1105","Helena",10,8,NA,NA,NA,NA,"Helena Garcia",40,"Online project manager","Leeds"
"1106","Jamie",10,8,NA,NA,NA,NA,"Jamie Finn",20,"Part-time waiter","Surrey"
"1107","Michael",10,8,NA,NA,NA,NA,"Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1108","Michelle",10,8,NA,NA,NA,NA,"Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1109","Phil",10,8,NA,NA,NA,NA,"Phil Thorne",56,"HGV driver","Rainham"
"1110","Priya",10,8,NA,NA,NA,NA,"Priya O'Shea",34,"Marketing consultant","Leicester"
"1111","David",10,9,2,NA,NA,"IN","David Atherton",36,"International health adviser","Whitby"
"1112","Steph",10,9,3,NA,NA,"IN","Steph Blackwell",28,"Shop assistant","Chester"
"1113","Rosie",10,9,1,NA,NA,"OUT","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
"1114","Alice",10,9,4,NA,NA,"STAR BAKER","Alice Fevronia",28,"Geography teacher","Essex"
"1115","Amelia",10,9,NA,NA,NA,NA,"Amelia LeBruin",24,"Fashion designer","Halifax"
"1116","Dan",10,9,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1117","Helena",10,9,NA,NA,NA,NA,"Helena Garcia",40,"Online project manager","Leeds"
"1118","Henry",10,9,NA,NA,NA,NA,"Henry Bird",20,"Student","Durham"
"1119","Jamie",10,9,NA,NA,NA,NA,"Jamie Finn",20,"Part-time waiter","Surrey"
"1120","Michael",10,9,NA,NA,NA,NA,"Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1121","Michelle",10,9,NA,NA,NA,NA,"Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1122","Phil",10,9,NA,NA,NA,NA,"Phil Thorne",56,"HGV driver","Rainham"
"1123","Priya",10,9,NA,NA,NA,NA,"Priya O'Shea",34,"Marketing consultant","Leicester"
"1124","Alice",10,10,2,NA,NA,"Runner-up","Alice Fevronia",28,"Geography teacher","Essex"
"1125","Steph",10,10,3,NA,NA,"Runner-up","Steph Blackwell",28,"Shop assistant","Chester"
"1126","David",10,10,1,NA,NA,"WINNER","David Atherton",36,"International health adviser","Whitby"
"1127","Amelia",10,10,NA,NA,NA,NA,"Amelia LeBruin",24,"Fashion designer","Halifax"
"1128","Dan",10,10,NA,NA,NA,NA,"Dan Chambers",32,"Support worker","Rotherham"
"1129","Helena",10,10,NA,NA,NA,NA,"Helena Garcia",40,"Online project manager","Leeds"
"1130","Henry",10,10,NA,NA,NA,NA,"Henry Bird",20,"Student","Durham"
"1131","Jamie",10,10,NA,NA,NA,NA,"Jamie Finn",20,"Part-time waiter","Surrey"
"1132","Michael",10,10,NA,NA,NA,NA,"Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon"
"1133","Michelle",10,10,NA,NA,NA,NA,"Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales"
"1134","Phil",10,10,NA,NA,NA,NA,"Phil Thorne",56,"HGV driver","Rainham"
"1135","Priya",10,10,NA,NA,NA,NA,"Priya O'Shea",34,"Marketing consultant","Leicester"
"1136","Rosie",10,10,NA,NA,NA,NA,"Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset"
